Targeted Keyword ID,Targeted Keyword Text,AdGroup ID,AdGroup Name,Campaign ID,Campaign Name,Targeted Keyword Match Type,Error Field,Error Message
N/A,セルフケア 無料,2144994932,Anicca Japanese,2143249334,Anicca Discovery JP,BROAD,text:matchType,duplicate keyword found in the system
N/A,マインドフルネス 無料,2144994932,Anicca Japanese,2143249334,Anicca Discovery JP,BROAD,text:matchType,duplicate keyword found in the system
N/A,メンタルヘルス 無料,2144994932,Anicca Japanese,2143249334,Anicca Discovery JP,BROAD,text:matchType,duplicate keyword found in the system
N/A,不安 アプリ,2144994932,Anicca Japanese,2143249334,Anicca Discovery JP,BROAD,text:matchType,duplicate keyword found in the system
N/A,ストレス 解消 アプリ,2144994932,Anicca Japanese,2143249334,Anicca Discovery JP,BROAD,text:matchType,duplicate keyword found in the system
