Campaign: Anicca Discovery JP (ID: 2143249334)
Ad Group: Anicca Japanese (ID: 2144994932))
"Start Date: Jan 29, 2026"
"End Date: Feb 04, 2026"
Currency: JPY
Time Zone: UTC
""

Keyword ID,Keyword,Match Type,Status,Ad Group ID,Ad Group Name,CPT Bid,Recommended Max CPT Bid,Spend,Avg CPA (Total),Average CPT,Avg CPM,Avg Daily Spend,Impressions,Taps,Installs (Total),TTR,CR (Total),Pre-Orders Placed (Tap-Through),Pre-Orders Placed (View-Through),Pre-Orders Placed (Total),CR (Tap-Through),New Downloads (Total),Redownloads (Total),Installs (View-Through),Installs (Tap-Through),Avg CPA (Tap-Through),New Downloads (View-Through),Redownloads (View-Through),New Downloads (Tap-Through),Redownloads (Tap-Through)
2208195499,マインドフルネス 無料,BROAD,RUNNING,2144994932,Anicca Japanese,100.0,,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2205594105,メンタルヘルス アプリ,BROAD,RUNNING,2144994932,Anicca Japanese,200.0,,1494.0,1494.0,166.0,,,161,9,1,0.06,0.11,0,0,0,0.11,1,0,0,1,1494.0,0,0,1,0
2208195500,メンタルヘルス 無料,BROAD,RUNNING,2144994932,Anicca Japanese,100.0,,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2205594110,モチベーション アプリ,BROAD,RUNNING,2144994932,Anicca Japanese,150.0,,0.0,0.0,0.0,,,11,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2205594114,ライフコーチ,BROAD,RUNNING,2144994932,Anicca Japanese,150.0,,0.0,0.0,0.0,,,13,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2208240231,ルーティンアプリ,BROAD,RUNNING,2144994932,Anicca Japanese,150.0,,0.0,0.0,0.0,,,5,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2205594101,ルーティンアプリ,EXACT,PAUSED,2144994932,Anicca Japanese,150.0,,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2208195501,不安 アプリ,BROAD,RUNNING,2144994932,Anicca Japanese,100.0,,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2205594124,不安 解消,BROAD,RUNNING,2144994932,Anicca Japanese,100.0,,0.0,0.0,0.0,,,6,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2205594125,不安障害,BROAD,RUNNING,2144994932,Anicca Japanese,100.0,,86.0,86.0,86.0,,,31,1,1,0.03,1.0,0,0,0,1.0,1,0,0,1,86.0,0,0,1,0
