"Start Date: Jan 22, 2026"
"End Date: Jan 28, 2026"
Currency: JPY
Time Zone: UTC
""

Campaign ID,Campaign Name,Start Date,End Date,Days Left in Campaign,Status,App Name,Country or Region,Ad Placement,Lifetime Budget,Daily Budget,Spend,Avg CPA (Total),Average CPT,Avg CPM,Avg Daily Spend,Impressions,Taps,Installs (Total),TTR,CR (Total),Pre-Orders Placed (Tap-Through),Pre-Orders Placed (View-Through),Pre-Orders Placed (Total),CR (Tap-Through),New Downloads (Total),Redownloads (Total),Installs (View-Through),Installs (Tap-Through),Avg CPA (Tap-Through),New Downloads (View-Through),Redownloads (View-Through),New Downloads (Tap-Through),Redownloads (Tap-Through)
2143222383,Anicca Discovery,"Jan 14, 2026","Jan 31, 2026",1,PAUSED,Proactive Self Care - Anicca,United States,App Store Search Results,,1500.0,191.0,0.0,191.0,994.79,,192,1,0,0.01,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0
2143249334,Anicca Discovery JP,"Jan 17, 2026","Feb 03, 2026",4,RUNNING,Proactive Self Care - Anicca,Japan,App Store Search Results,,1500.0,4559.0,569.88,111.2,3327.74,,1370,41,8,0.03,0.2,0,0,0,0.2,8,0,0,8,569.88,0,0,8,0
2143331128,EU-Tier2_discovery,"Jan 27, 2026",N/A,,RUNNING,Proactive Self Care - Anicca,"Czech Republic,Estonia,Croatia,Hungary,Latvia,Poland,Romania,Slovenia,Slovakia",App Store Search Results,,1500.0,800.0,800.0,72.73,1932.37,,414,11,1,0.03,0.09,0,0,0,0.09,0,1,0,1,800.0,0,0,0,1
"",,N/A,N/A,,,,N/A,N/A,,,5550.0,616.67,104.72,2808.7,,1976,53,9,0.03,0.17,0,0,0,0.17,8,1,0,9,616.67,0,0,8,1
